Ativo,Data,Intervalo,Volume
BTCUSDT,2025-04-27 21:00:00,1h,153.91584
BTCUSDT,2025-04-27 22:00:00,1h,242.97815
BTCUSDT,2025-04-27 23:00:00,1h,563.30862
BTCUSDT,2025-04-28 00:00:00,1h,287.74927
BTCUSDT,2025-04-28 01:00:00,1h,819.66814
BTCUSDT,2025-04-28 02:00:00,1h,1271.62188
BTCUSDT,2025-04-28 03:00:00,1h,932.01032
BTCUSDT,2025-04-28 04:00:00,1h,805.95446
BTCUSDT,2025-04-28 05:00:00,1h,1136.67686
BTCUSDT,2025-04-28 06:00:00,1h,693.5397
BTCUSDT,2025-04-28 07:00:00,1h,667.50641
BTCUSDT,2025-04-28 08:00:00,1h,675.73206
BTCUSDT,2025-04-28 09:00:00,1h,517.2708
BTCUSDT,2025-04-28 10:00:00,1h,636.29638
BTCUSDT,2025-04-28 11:00:00,1h,1669.19469
BTCUSDT,2025-04-28 12:00:00,1h,1585.05499
BTCUSDT,2025-04-28 13:00:00,1h,2035.1513
BTCUSDT,2025-04-28 14:00:00,1h,2653.72474
BTCUSDT,2025-04-28 15:00:00,1h,1173.25656
BTCUSDT,2025-04-28 16:00:00,1h,1012.72231
BTCUSDT,2025-04-28 17:00:00,1h,785.42906
BTCUSDT,2025-04-28 18:00:00,1h,398.76014
BTCUSDT,2025-04-28 19:00:00,1h,362.03308
BTCUSDT,2025-04-28 20:00:00,1h,738.28237
BTCUSDT,2025-04-28 21:00:00,1h,278.98826
BTCUSDT,2025-04-28 22:00:00,1h,195.96012
BTCUSDT,2025-04-28 23:00:00,1h,344.51726
BTCUSDT,2025-04-29 00:00:00,1h,768.18162
BTCUSDT,2025-04-29 01:00:00,1h,403.75166
BTCUSDT,2025-04-29 02:00:00,1h,993.29082
BTCUSDT,2025-04-29 03:00:00,1h,582.54028
BTCUSDT,2025-04-29 04:00:00,1h,375.84575
BTCUSDT,2025-04-29 05:00:00,1h,709.69675
BTCUSDT,2025-04-29 06:00:00,1h,1647.45956
BTCUSDT,2025-04-29 07:00:00,1h,377.80111
BTCUSDT,2025-04-29 08:00:00,1h,361.94456
