Ativo,Data,Intervalo,Volume
BTCUSDT,2025-05-03 03:12:00,1m,3.03887
BTCUSDT,2025-05-03 03:13:00,1m,6.71956
BTCUSDT,2025-05-03 03:14:00,1m,3.15401
BTCUSDT,2025-05-03 03:15:00,1m,2.53135
BTCUSDT,2025-05-03 03:16:00,1m,3.11702
BTCUSDT,2025-05-03 03:17:00,1m,2.07369
BTCUSDT,2025-05-03 03:18:00,1m,1.21801
BTCUSDT,2025-05-03 03:19:00,1m,2.75617
BTCUSDT,2025-05-03 03:20:00,1m,0.45653
BTCUSDT,2025-05-03 03:21:00,1m,0.96582
BTCUSDT,2025-05-03 03:22:00,1m,1.70494
BTCUSDT,2025-05-03 03:23:00,1m,2.72301
BTCUSDT,2025-05-03 03:24:00,1m,2.38896
BTCUSDT,2025-05-03 03:25:00,1m,4.71918
BTCUSDT,2025-05-03 03:26:00,1m,0.42362
BTCUSDT,2025-05-03 03:27:00,1m,7.79103
BTCUSDT,2025-05-03 03:28:00,1m,1.80927
BTCUSDT,2025-05-03 03:29:00,1m,0.66475
BTCUSDT,2025-05-03 03:30:00,1m,6.51618
BTCUSDT,2025-05-03 03:31:00,1m,9.5274
BTCUSDT,2025-05-03 03:32:00,1m,0.71228
BTCUSDT,2025-05-03 03:33:00,1m,1.05862
BTCUSDT,2025-05-03 03:34:00,1m,0.88874
BTCUSDT,2025-05-03 03:35:00,1m,3.01804
BTCUSDT,2025-05-03 03:36:00,1m,3.62494
BTCUSDT,2025-05-03 03:37:00,1m,1.42593
BTCUSDT,2025-05-03 03:38:00,1m,0.49515
BTCUSDT,2025-05-03 03:39:00,1m,1.92436
BTCUSDT,2025-05-03 03:40:00,1m,0.88104
BTCUSDT,2025-05-03 03:41:00,1m,4.00085
BTCUSDT,2025-05-03 03:42:00,1m,0.65324
BTCUSDT,2025-05-03 03:43:00,1m,2.36323
BTCUSDT,2025-05-03 03:44:00,1m,2.42319
BTCUSDT,2025-05-03 03:45:00,1m,10.51133
BTCUSDT,2025-05-03 03:46:00,1m,9.17779
BTCUSDT,2025-05-03 03:47:00,1m,6.27863
BTCUSDT,2025-05-03 03:48:00,1m,6.30351
BTCUSDT,2025-05-03 03:49:00,1m,20.66177
BTCUSDT,2025-05-03 03:50:00,1m,0.42224
BTCUSDT,2025-05-03 03:51:00,1m,2.19108
BTCUSDT,2025-05-03 03:52:00,1m,1.93993
BTCUSDT,2025-05-03 03:53:00,1m,27.09727
BTCUSDT,2025-05-03 03:54:00,1m,0.86783
BTCUSDT,2025-05-03 03:55:00,1m,4.17995
BTCUSDT,2025-05-03 03:56:00,1m,5.51517
BTCUSDT,2025-05-03 03:57:00,1m,9.65437
BTCUSDT,2025-05-03 03:58:00,1m,14.48587
BTCUSDT,2025-05-03 03:59:00,1m,6.60012
BTCUSDT,2025-05-03 04:00:00,1m,9.38554
BTCUSDT,2025-05-03 04:01:00,1m,10.72492
BTCUSDT,2025-05-03 04:02:00,1m,0.68177
BTCUSDT,2025-05-03 04:03:00,1m,7.60363
BTCUSDT,2025-05-03 04:04:00,1m,9.66018
BTCUSDT,2025-05-03 04:05:00,1m,9.16301
BTCUSDT,2025-05-03 04:06:00,1m,3.33703
BTCUSDT,2025-05-03 04:07:00,1m,1.3182
BTCUSDT,2025-05-03 04:08:00,1m,7.14209
BTCUSDT,2025-05-03 04:09:00,1m,0.88032
BTCUSDT,2025-05-03 04:10:00,1m,1.39659
BTCUSDT,2025-05-03 04:11:00,1m,0.59905
BTCUSDT,2025-05-03 04:12:00,1m,0.69446
BTCUSDT,2025-05-03 04:13:00,1m,20.23037
BTCUSDT,2025-05-03 04:14:00,1m,4.34201
BTCUSDT,2025-05-03 04:15:00,1m,13.18493
BTCUSDT,2025-05-03 04:16:00,1m,11.96522
BTCUSDT,2025-05-03 04:17:00,1m,15.96976
BTCUSDT,2025-05-03 04:18:00,1m,16.86497
BTCUSDT,2025-05-03 04:19:00,1m,3.69147
BTCUSDT,2025-05-03 04:20:00,1m,12.67932
BTCUSDT,2025-05-03 04:21:00,1m,8.43242
BTCUSDT,2025-05-03 04:22:00,1m,13.2154
BTCUSDT,2025-05-03 04:23:00,1m,3.27811
BTCUSDT,2025-05-03 04:24:00,1m,1.33548
BTCUSDT,2025-05-03 04:25:00,1m,2.66292
BTCUSDT,2025-05-03 04:26:00,1m,7.15563
BTCUSDT,2025-05-03 04:27:00,1m,18.54445
BTCUSDT,2025-05-03 04:28:00,1m,213.78699
BTCUSDT,2025-05-03 04:29:00,1m,3.43979
BTCUSDT,2025-05-03 04:30:00,1m,4.34095
BTCUSDT,2025-05-03 04:31:00,1m,2.63965
BTCUSDT,2025-05-03 04:32:00,1m,1.73029
BTCUSDT,2025-05-03 04:33:00,1m,2.52622
BTCUSDT,2025-05-03 04:34:00,1m,5.30429
BTCUSDT,2025-05-03 04:35:00,1m,97.81247
BTCUSDT,2025-05-03 04:36:00,1m,18.39745
BTCUSDT,2025-05-03 04:37:00,1m,10.9669
BTCUSDT,2025-05-03 04:38:00,1m,0.69759
BTCUSDT,2025-05-03 04:39:00,1m,8.35734
BTCUSDT,2025-05-03 04:40:00,1m,2.42351
BTCUSDT,2025-05-03 04:41:00,1m,0.74296
BTCUSDT,2025-05-03 04:42:00,1m,11.79049
BTCUSDT,2025-05-03 04:43:00,1m,10.79859
BTCUSDT,2025-05-03 04:44:00,1m,8.33261
BTCUSDT,2025-05-03 04:45:00,1m,1.74082
BTCUSDT,2025-05-03 04:46:00,1m,44.02639
BTCUSDT,2025-05-03 04:47:00,1m,13.29811
BTCUSDT,2025-05-03 04:48:00,1m,11.59253
BTCUSDT,2025-05-03 04:49:00,1m,0.80054
BTCUSDT,2025-05-03 04:50:00,1m,3.99375
BTCUSDT,2025-05-03 04:51:00,1m,7.32309
BTCUSDT,2025-05-03 04:52:00,1m,11.7672
BTCUSDT,2025-05-03 04:53:00,1m,15.90898
BTCUSDT,2025-05-03 04:54:00,1m,5.15672
BTCUSDT,2025-05-03 04:55:00,1m,0.6228
BTCUSDT,2025-05-03 04:56:00,1m,2.50932
BTCUSDT,2025-05-03 04:57:00,1m,1.38195
BTCUSDT,2025-05-03 04:58:00,1m,17.5368
BTCUSDT,2025-05-03 04:59:00,1m,3.72929
BTCUSDT,2025-05-03 05:00:00,1m,2.69538
BTCUSDT,2025-05-03 05:01:00,1m,2.44169
BTCUSDT,2025-05-03 05:02:00,1m,3.36512
BTCUSDT,2025-05-03 05:03:00,1m,5.59683
BTCUSDT,2025-05-03 05:04:00,1m,1.0767
BTCUSDT,2025-05-03 05:05:00,1m,0.78079
BTCUSDT,2025-05-03 05:06:00,1m,6.3053
BTCUSDT,2025-05-03 05:07:00,1m,3.33497
BTCUSDT,2025-05-03 05:08:00,1m,2.23967
BTCUSDT,2025-05-03 05:09:00,1m,1.17553
BTCUSDT,2025-05-03 05:10:00,1m,3.71328
BTCUSDT,2025-05-03 05:11:00,1m,1.88873
